Date,Price,Open,High,Low,Vol.,Change %,T+,range,TR
2019-06-19 00:00:00,9255.4,"9,080.70",9295.1,9044.0,587.57K,1.93,True,251.10000000000036,251.10000000000036
2019-06-20 00:00:00,9517.0,"9,255.00",9583.9,9188.4,693.62K,2.83,True,395.5,395.5
2019-06-21 00:00:00,10179.3,"9,517.70",10184.3,9517.4,769.12K,6.96,True,666.8999999999996,667.2999999999993
2019-06-22 00:00:00,10721.7,"10,178.10",11160.5,10031.3,1.09M,5.33,True,1129.2000000000007,1129.2000000000007
2019-06-23 00:00:00,10897.1,"10,721.50",11361.3,10557.8,683.79K,1.64,True,803.5,803.5
2019-06-24 00:00:00,11046.4,"10,897.30",11114.4,10622.6,566.96K,1.37,True,491.7999999999993,491.7999999999993
2019-06-25 00:00:00,11809.9,"11,046.60",11833.9,11033.7,781.09K,6.91,True,800.1999999999989,800.1999999999989
2019-06-26 00:00:00,13063.8,"11,811.60",13929.8,11747.3,1.48M,10.62,True,2182.5,2182.5
2019-06-27 00:00:00,11287.8,"13,062.40",13422.0,10493.5,1.59M,-13.59,False,2928.5,2928.5
2019-06-28 00:00:00,12409.1,"11,288.40",12461.8,10970.5,1.09M,9.93,True,1491.2999999999993,1491.2999999999993
2019-06-29 00:00:00,11906.5,"12,408.00",12422.9,11490.8,834.62K,-4.05,False,932.1000000000004,932.1000000000004
2019-06-30 00:00:00,10818.6,"11,906.00",12179.3,10765.4,880.77K,-9.14,False,1413.8999999999996,1413.8999999999996
2019-07-01 00:00:00,10616.6,"10,821.40",11254.5,10041.6,1.04M,-1.87,False,1212.8999999999996,1212.8999999999996
2019-07-02 00:00:00,10835.9,"10,615.50",10923.5,9728.5,1.12M,2.07,True,1195.0,1195.0
2019-07-03 00:00:00,11900.8,"10,835.90",11931.8,10835.9,998.73K,9.83,True,1095.8999999999996,1095.8999999999996
2019-07-04 00:00:00,11163.1,"11,899.30",11948.0,11087.1,840.34K,-6.2,False,860.8999999999996,860.8999999999996
2019-07-05 00:00:00,10970.2,"11,159.70",11381.8,10810.3,772.67K,-1.73,False,571.5,571.5
2019-07-06 00:00:00,11268.0,"10,969.80",11650.2,10967.9,688.96K,2.71,True,682.3000000000011,682.3000000000011
2019-07-07 00:00:00,11415.9,"11,267.90",11524.6,11108.1,601.93K,1.31,True,416.5,416.5
2019-07-08 00:00:00,12252.6,"11,415.80",12332.3,11304.8,695.60K,7.33,True,1027.5,1027.5
2019-07-09 00:00:00,12541.5,"12,250.60",12772.9,12111.2,847.84K,2.36,True,661.6999999999989,661.6999999999989
2019-07-10 00:00:00,12110.6,"12,542.80",13134.4,11594.9,1.11M,-3.44,False,1539.5,1539.5
2019-07-11 00:00:00,11342.3,"12,111.60",12111.6,11029.0,943.13K,-6.34,False,1082.6000000000004,1082.6000000000004
2019-07-12 00:00:00,11762.1,"11,343.70",11881.4,11109.8,738.17K,3.7,True,771.6000000000004,771.6000000000004
2019-07-13 00:00:00,11364.9,"11,762.80",11798.4,10839.4,747.71K,-3.38,False,959.0,959.0
2019-07-14 00:00:00,10200.1,"11,364.30",11448.7,10128.9,840.76K,-10.25,False,1319.800000000001,1319.800000000001
2019-07-15 00:00:00,10845.9,"10,199.90",11064.7,9885.4,956.52K,6.33,True,1179.300000000001,1179.300000000001
2019-07-16 00:00:00,9424.8,"10,844.00",11019.5,9375.3,1.05M,-13.1,False,1644.2000000000007,1644.2000000000007
2019-07-17 00:00:00,9723.2,"9,425.10",9983.6,9082.6,1.03M,3.17,True,901.0,901.0
2019-07-18 00:00:00,10651.4,"9,723.10",10787.1,9390.0,974.49K,9.55,True,1397.1000000000004,1397.1000000000004
2019-07-19 00:00:00,10571.5,"10,651.60",10758.4,10160.7,727.79K,-0.75,False,597.6999999999989,597.6999999999989
2019-07-20 00:00:00,10826.7,"10,571.90",11155.6,10462.0,668.94K,2.41,True,693.6000000000004,693.6000000000004
2019-07-21 00:00:00,10714.4,"10,827.00",10883.8,10442.5,562.17K,-1.04,False,441.2999999999993,441.2999999999993
2019-07-22 00:00:00,10412.5,"10,715.10",10806.3,10196.5,591.27K,-2.82,False,609.7999999999993,609.7999999999993
2019-07-23 00:00:00,9888.7,"10,412.80",10414.7,9865.4,663.38K,-5.03,False,549.3000000000011,549.3000000000011
2019-07-24 00:00:00,9804.3,"9,887.20",9945.3,9584.0,639.54K,-0.85,False,361.2999999999993,361.2999999999993
2019-07-25 00:00:00,9945.3,"9,804.70",10203.5,9776.6,545.85K,1.44,True,426.89999999999964,426.89999999999964
2019-07-26 00:00:00,9831.0,"9,945.20",10436.1,9724.2,493.75K,-1.15,False,711.8999999999996,711.8999999999996
2019-07-27 00:00:00,9492.1,"9,830.40",10232.3,9389.1,661.89K,-3.45,False,843.1999999999989,843.1999999999989
2019-07-28 00:00:00,9727.8,"9,491.10",9798.5,9401.1,518.59K,2.48,True,397.39999999999964,397.39999999999964
2019-07-29 00:00:00,9580.9,"9,728.50",9835.4,9502.5,510.90K,-1.51,False,332.89999999999964,332.89999999999964
2019-07-30 00:00:00,9580.7,"9,580.00",9703.0,9483.0,511.51K,0.0,True,220.0,220.0
2019-07-31 00:00:00,10082.0,"9,580.30",10100.0,9562.4,589.84K,5.23,True,537.6000000000004,537.6000000000004
2019-08-01 00:00:00,10380.0,"10,081.90",10459.0,9890.6,608.37K,2.96,True,568.3999999999996,568.3999999999996
2019-08-02 00:00:00,10520.1,"10,380.50",10664.8,10330.5,578.29K,1.35,True,334.2999999999993,334.2999999999993
2019-08-03 00:00:00,10815.7,"10,519.90",10893.6,10504.5,508.75K,2.81,True,389.10000000000036,389.10000000000036
